"","UsageClass","CheckoutType","MaterialType","CheckoutYear","CheckoutMonth","Checkouts","Title","ISBN","Creator","Subjects","Publisher","PublicationYear"
"32","Physical","Horizon","BOOK",2017,1,18,"The Titan's curse / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Artemis Greek deity Juvenile fiction, Animals Mythical Juvenile fiction, Monsters Juvenile fiction, Titans Mythology Juvenile fiction","Miramax Books / Hyperion Books for Children,","2007"
"33","Digital","OverDrive","AUDIOBOOK",2017,1,18,"The Sword of Summer: Magnus Chase and the Gods of Asgard Series, Book 1 (unabridged) (Unabridged)","","Rick Riordan","Juvenile Fiction, Mythology","Books on Tape","2015"
"34","Physical","Horizon","BOOK",2017,1,49,"The hidden oracle / Rick Riordan.","","Riordan, Rick","Apollo Deity Fiction, Gods Greek Fiction, Mythology Greek Fiction, Apollo Deity Fiction, Gods Greek Fiction, Mythology Greek Fiction","Disney-Hyperion,","2016"
"35","Physical","Horizon","BOOK",2017,1,21,"Percy Jackson & the Olympians. Book two, The sea of monsters : the graphic novel / by Rick Riordan ; adapted by Robert Venditti ; art by Attila Futaki ; lettering by Chris Dickey.","","Riordan, Rick","Jackson Percy Fictitious character Comic books strips etc, Mythology Greek Comic books strips etc, Monsters Comic books strips etc, Fathers and sons Comic books strips etc, Poseidon Greek deity Comic books strips etc, Riordan Rick Sea of monsters Adaptations, Graphic novels","Disney-Hyperion Books,","2013"
"36","Physical","Horizon","BOOK",2017,1,19,"Demigods & Magicians / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Mythology Egyptian Juvenile fiction, Magic Juvenile fiction, Monsters Juvenile fiction, Mythology Greek Fiction, Mythology Egyptian Fiction, Magic Fiction, Monsters Fiction, Short stories","Disney/Hyperion,","2016"
"37","Physical","Horizon","BOOK",2017,1,49,"The hammer of Thor / Rick Riordan.","","Riordan, Rick","Fantasy Juvenile fiction, Mythology Norse Juvenile fiction, Homeless children Juvenile fiction, Quests Expeditions Juvenile fiction, Fantasy, Mythology Norse Fiction, Homeless children Fiction, Quests Expeditions Fiction","Disney-Hyperion,","2016"
"38","Digital","OverDrive","AUDIOBOOK",2017,1,13,"The Sea of Monsters: Percy Jackson and the Olympians Series, Book 2 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2007"
"39","Digital","OverDrive","AUDIOBOOK",2017,1,16,"The Lightning Thief: Percy Jackson and the Olympians Series, Book 1 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Books on Tape","2006"
"40","Physical","Horizon","BOOK",2017,1,16,"The lost hero / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Camps Juvenile fiction, Hera Greek deity Juvenile fiction, Gaia Greek deity Juvenile fiction, Monsters Juvenile fiction","Disney/Hyperion Books,","2010"
"41","Physical","Horizon","BOOK",2017,8,15,"Demigods & Magicians / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Mythology Egyptian Juvenile fiction, Magic Juvenile fiction, Monsters Juvenile fiction, Mythology Greek Fiction, Mythology Egyptian Fiction, Magic Fiction, Monsters Fiction, Short stories","Disney/Hyperion,","2016"
"42","Digital","OverDrive","AUDIOBOOK",2017,2,14,"The Blood of Olympus: The Heroes of Olympus Series, Book 5 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2014"
"43","Physical","Horizon","BOOK",2017,3,16,"Percy Jackson's Greek heroes / Rick Riordan ; illustrated by Jon Rocco.","","Riordan, Rick","Mythology Greek Juvenile fiction, Gods Greek Juvenile fiction","Disney-Hyperion,","2015"
"44","Physical","Horizon","BOOK",2017,2,11,"The serpent's shadow / Rick Riordan.","","Riordan, Rick","Snakes Fiction, Brothers and sisters Fiction, Magic Fiction, Mythology Egyptian Juvenile fiction, Adventure stories, Voyages and travels Juvenile fiction","Disney/Hyperion,","2012"
"45","Physical","Horizon","BOOK",2017,2,15,"Demigods & Magicians / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Mythology Egyptian Juvenile fiction, Magic Juvenile fiction, Monsters Juvenile fiction, Mythology Greek Fiction, Mythology Egyptian Fiction, Magic Fiction, Monsters Fiction, Short stories","Disney/Hyperion,","2016"
"46","Physical","Horizon","BOOK",2017,3,18,"The lost hero / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Camps Juvenile fiction, Hera Greek deity Juvenile fiction, Gaia Greek deity Juvenile fiction, Monsters Juvenile fiction","Disney/Hyperion Books,","2010"
"47","Physical","Horizon","BOOK",2017,2,27,"The lightning thief / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Fantasy Fiction","Hyperion Books for Children,","2005"
"48","Digital","OverDrive","AUDIOBOOK",2017,3,18,"The Sword of Summer: Magnus Chase and the Gods of Asgard Series, Book 1 (unabridged) (Unabridged)","","Rick Riordan","Juvenile Fiction, Mythology","Books on Tape","2015"
"49","Digital","OverDrive","AUDIOBOOK",2017,3,12,"The Sea of Monsters: Percy Jackson and the Olympians Series, Book 2 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2007"
"50","Digital","OverDrive","EBOOK",2017,3,12,"The Lost Hero: The Heroes of Olympus Series, Book 1","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Disney Digital Books","2011"
"51","Physical","Horizon","BOOK",2017,3,32,"The hidden oracle / Rick Riordan.","","Riordan, Rick","Apollo Deity Fiction, Gods Greek Fiction, Mythology Greek Fiction, Apollo Deity Fiction, Gods Greek Fiction, Mythology Greek Fiction","Disney-Hyperion,","2016"
"52","Physical","Horizon","BOOK",2017,2,11,"The hammer of Thor / Rick Riordan.","","Riordan, Rick","Large type books, Mythology Norse Juvenile fiction, Homeless children Juvenile fiction, Quests Expeditions Juvenile fiction, Fantasy, Large type books","Thorndike Press Large Print,","2016"
"53","Digital","OverDrive","AUDIOBOOK",2017,2,19,"The Hidden Oracle: Trials of Apollo Series, Book 1 (unabridged) (Unabridged)","","Rick Riordan","Mythology, Young Adult Fiction","Books on Tape","2016"
"54","Digital","OverDrive","AUDIOBOOK",2017,3,16,"The Hammer of Thor: Magnus Chase and the Gods of Asgard Series, Book 2 (unabridged) (Unabridged)","","Rick Riordan","Mythology, Young Adult Fiction","Books on Tape","2016"
"55","Digital","OverDrive","EBOOK",2017,3,14,"The Sea of Monsters: Percy Jackson and the Olympians Series, Book 2","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Disney Digital Books","2011"
"56","Physical","Horizon","BOOK",2017,2,17,"The sea of monsters / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Camps Juvenile fiction, Friendship Fiction, Fathers and sons Juvenile fiction, Poseidon Greek deity Juvenile fiction, Hades Greek deity Juvenile fiction, Zeus Greek deity Juvenile fiction, Fantasy Fiction","Miramax Books/Hyperion Books for Children,","2006"
"57","Digital","OverDrive","AUDIOBOOK",2017,3,11,"The Son of Neptune: The Heroes of Olympus Series, Book 2 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2011"
"58","Digital","OverDrive","EBOOK",2017,3,11,"The Sword of Summer: Magnus Chase and the Gods of Asgard Series, Book 1","","Rick Riordan","Mythology, Young Adult Fiction, Young Adult Literature","Disney Digital Books","2016"
"59","Physical","Horizon","BOOK",2017,3,24,"The mark of Athena / Rick Riordan.","","Riordan, Rick","Mythology Roman Juvenile fiction, Mythology Greek Juvenile fiction, Giants Juvenile fiction, Camps Juvenile fiction, Hera Greek deity Juvenile fiction, Gaia Greek deity Juvenile fiction","Disney-Hyperion Books,","2012"
"60","Digital","OverDrive","EBOOK",2017,2,10,"The Lost Hero: The Heroes of Olympus Series, Book 1","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Disney Digital Books","2011"
"61","Physical","Horizon","BOOK",2017,2,24,"Percy Jackson & the Olympians. Book one, The lightning thief : the graphic novel / by Rick Riordan ; adapted by Robert Venditti ; art by Attila Futaki ; color by José Villarrubia ; layouts by Orpheus Collar ; lettering by Chris Dickey.","","Riordan, Rick","Mythology Greek Comic books strips etc, Camps Comic books strips etc, Friendship Comic books strips etc, Fathers and sons Comic books strips etc, Poseidon Greek deity Comic books strips etc, Hades Greek deity Comic books strips etc, Zeus Greek deity Comic books strips etc, Cartoons and comics, Graphic novels, Fantasy comic books strips etc","Disney/Hyperion Books,","2010"
"62","Digital","OverDrive","EBOOK",2017,3,10,"The Hidden Oracle: Trials of Apollo, Book One","","Rick Riordan","Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2016"
"63","Digital","OverDrive","AUDIOBOOK",2017,2,19,"The Sword of Summer: Magnus Chase and the Gods of Asgard Series, Book 1 (unabridged) (Unabridged)","","Rick Riordan","Juvenile Fiction, Mythology","Books on Tape","2015"
"64","Physical","Horizon","BOOK",2017,3,39,"The hammer of Thor / Rick Riordan.","","Riordan, Rick","Fantasy Juvenile fiction, Mythology Norse Juvenile fiction, Homeless children Juvenile fiction, Quests Expeditions Juvenile fiction, Fantasy, Mythology Norse Fiction, Homeless children Fiction, Quests Expeditions Fiction","Disney-Hyperion,","2016"
"65","Physical","Horizon","BOOK",2017,2,27,"The House of Hades / Rick Riordan.","","Riordan, Rick","Monsters Juvenile fiction, Mythology Greek Juvenile fiction, Mythology Roman Juvenile fiction, Prophecies Fiction, Fantasy Fiction","Disney/Hyperion Books,","2013"
"66","Physical","Horizon","BOOK",2017,3,18,"The last Olympian / Rick Riordan.","","Riordan, Rick","Titans Mythology Juvenile fiction, Animals Mythical Juvenile fiction, Monsters Juvenile fiction, Mythology Greek Juvenile fiction","Disney/Hyperion Books,","2009"
"67","Physical","Horizon","BOOK",2017,3,15,"Demigods & Magicians / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Mythology Egyptian Juvenile fiction, Magic Juvenile fiction, Monsters Juvenile fiction, Mythology Greek Fiction, Mythology Egyptian Fiction, Magic Fiction, Monsters Fiction, Short stories","Disney/Hyperion,","2016"
"68","Physical","Horizon","BOOK",2017,3,20,"The battle of the Labyrinth / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Labyrinths Juvenile fiction, Camps Juvenile fiction, Monsters Juvenile fiction, Animals Mythical Juvenile fiction, Titans Mythology Juvenile fiction","Hyperion Books for Children,","2008"
"69","Physical","Horizon","BOOK",2017,2,14,"The lost hero / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Camps Juvenile fiction, Hera Greek deity Juvenile fiction, Gaia Greek deity Juvenile fiction, Monsters Juvenile fiction","Disney/Hyperion Books,","2010"
"70","Physical","Horizon","BOOK",2017,2,27,"The blood of Olympus / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Mythology Roman Juvenile fiction, Gaia Greek deity Juvenile fiction, Mythology Greek Fiction, Mythology Roman Fiction, Gaia Greek deity Fiction, Fantasy, Fantasy fiction","Disney-Hyperion,","2014"
"71","Digital","OverDrive","EBOOK",2017,3,13,"The Lightning Thief: Percy Jackson and the Olympians Series, Book 1","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Disney Digital Books","2011"
"72","Digital","OverDrive","EBOOK",2017,2,11,"The Sea of Monsters: Percy Jackson and the Olympians Series, Book 2","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Disney Digital Books","2011"
"73","Digital","OverDrive","AUDIOBOOK",2017,2,10,"The Lost Hero: The Heroes of Olympus Series, Book 1 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2010"
"74","Digital","OverDrive","EBOOK",2017,3,10,"The Last Olympian: Percy Jackson and the Olympians Series, Book 5","","Rick Riordan","Juvenile Fiction, Mythology","Disney Digital Books","2011"
"75","Physical","Horizon","BOOK",2017,3,24,"The House of Hades / Rick Riordan.","","Riordan, Rick","Monsters Juvenile fiction, Mythology Greek Juvenile fiction, Mythology Roman Juvenile fiction, Prophecies Fiction, Fantasy Fiction","Disney/Hyperion Books,","2013"
"76","Physical","Horizon","BOOK",2017,3,22,"The sword of summer / Rick Riordan.","","Riordan, Rick","Chase Magnus Fictitious character Juvenile fiction, Mythology Norse Juvenile fiction, Homeless children Juvenile fiction, Quests Expeditions Juvenile fiction, Mythology Norse Fiction","Disney Hyperion,","2015"
"77","Physical","Horizon","BOOK",2017,3,23,"The Titan's curse / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Artemis Greek deity Juvenile fiction, Animals Mythical Juvenile fiction, Monsters Juvenile fiction, Titans Mythology Juvenile fiction","Miramax Books / Hyperion Books for Children,","2007"
"78","Digital","OverDrive","AUDIOBOOK",2017,3,11,"For Magnus Chase: The Hotel Valhalla Guide to the Norse Worlds (unabridged) (Unabridged)","","Rick Riordan","Mythology, Young Adult Fiction","Books on Tape","2016"
"79","Physical","Horizon","BOOK",2017,3,12,"The throne of fire / Rick Riordan.","","Riordan, Rick","Mythology Egyptian Juvenile fiction, Brothers and sisters Fiction, Voyages and travels Juvenile fiction, Adventure stories, Magic Fiction, Fantasy Fiction","Disney/Hyperion,","2011"
"80","Digital","OverDrive","AUDIOBOOK",2017,3,18,"The Blood of Olympus: The Heroes of Olympus Series, Book 5 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2014"
"81","Digital","OverDrive","AUDIOBOOK",2017,3,13,"The Lost Hero: The Heroes of Olympus Series, Book 1 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2010"
"82","Physical","Horizon","BOOK",2017,3,16,"The son of Neptune / Rick Riordan.","","Riordan, Rick","Gaia Greek deity Juvenile fiction, Hera Greek deity Juvenile fiction, Neptune Roman deity Juvenile fiction, Camps Juvenile fiction, Mythology Greek Juvenile fiction, Mythology Roman Juvenile fiction, Quests Expeditions Juvenile fiction, Fantasy Fiction","Disney/Hyperion Books,","2011"
"83","Physical","Horizon","BOOK",2017,2,16,"The demigod files / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Monsters Juvenile fiction, Animals Mythical Juvenile fiction, Fantasy Fiction","Hyperion Books for Children,","2009"
"84","Digital","OverDrive","AUDIOBOOK",2017,3,11,"The Mark of Athena: The Heroes of Olympus Series, Book 3 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2013"
"85","Physical","Horizon","BOOK",2017,2,13,"The last Olympian / Rick Riordan.","","Riordan, Rick","Titans Mythology Juvenile fiction, Animals Mythical Juvenile fiction, Monsters Juvenile fiction, Mythology Greek Juvenile fiction","Disney/Hyperion Books,","2009"
"86","Digital","OverDrive","AUDIOBOOK",2017,3,20,"The Hidden Oracle: Trials of Apollo Series, Book 1 (unabridged) (Unabridged)","","Rick Riordan","Mythology, Young Adult Fiction","Books on Tape","2016"
"87","Physical","Horizon","BOOK",2017,3,12,"Percy Jackson & the Olympians. Book one, The lightning thief : the graphic novel / by Rick Riordan ; adapted by Robert Venditti ; art by Attila Futaki ; color by José Villarrubia ; layouts by Orpheus Collar ; lettering by Chris Dickey.","","Riordan, Rick","Mythology Greek Comic books strips etc, Camps Comic books strips etc, Friendship Comic books strips etc, Fathers and sons Comic books strips etc, Poseidon Greek deity Comic books strips etc, Hades Greek deity Comic books strips etc, Zeus Greek deity Comic books strips etc, Cartoons and comics, Graphic novels, Fantasy comic books strips etc","Disney/Hyperion Books,","2010"
"88","Digital","OverDrive","AUDIOBOOK",2017,3,13,"The House of Hades: The Heroes of Olympus Series, Book 4 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2013"
"89","Physical","Horizon","BOOK",2017,3,12,"The demigod files / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Monsters Juvenile fiction, Animals Mythical Juvenile fiction, Fantasy Fiction","Hyperion Books for Children,","2009"
"90","Physical","Horizon","BOOK",2017,2,11,"The throne of fire / Rick Riordan.","","Riordan, Rick","Mythology Egyptian Juvenile fiction, Brothers and sisters Fiction, Voyages and travels Juvenile fiction, Adventure stories, Magic Fiction, Fantasy Fiction","Disney/Hyperion,","2011"
"91","Digital","OverDrive","EBOOK",2017,3,12,"The Red Pyramid: The Kane Chronicles, Book 1","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Disney Digital Books","2011"
"92","Physical","Horizon","BOOK",2017,2,43,"The hidden oracle / Rick Riordan.","","Riordan, Rick","Apollo Deity Fiction, Gods Greek Fiction, Mythology Greek Fiction, Apollo Deity Fiction, Gods Greek Fiction, Mythology Greek Fiction","Disney-Hyperion,","2016"
"93","Digital","OverDrive","AUDIOBOOK",2017,2,15,"The Hammer of Thor: Magnus Chase and the Gods of Asgard Series, Book 2 (unabridged) (Unabridged)","","Rick Riordan","Mythology, Young Adult Fiction","Books on Tape","2016"
"94","Physical","Horizon","BOOK",2017,2,22,"The Titan's curse / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Artemis Greek deity Juvenile fiction, Animals Mythical Juvenile fiction, Monsters Juvenile fiction, Titans Mythology Juvenile fiction","Miramax Books / Hyperion Books for Children,","2007"
"95","Digital","OverDrive","AUDIOBOOK",2017,2,13,"The Sea of Monsters: Percy Jackson and the Olympians Series, Book 2 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2007"
"96","Physical","Horizon","BOOK",2017,2,23,"The battle of the Labyrinth / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Labyrinths Juvenile fiction, Camps Juvenile fiction, Monsters Juvenile fiction, Animals Mythical Juvenile fiction, Titans Mythology Juvenile fiction","Hyperion Books for Children,","2008"
"97","Digital","OverDrive","AUDIOBOOK",2017,3,16,"The Lightning Thief: Percy Jackson and the Olympians Series, Book 1 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Juvenile Fiction, Mythology","Books on Tape","2006"
"98","Digital","OverDrive","EBOOK",2017,3,13,"The Titan's Curse: Percy Jackson and the Olympians, Book 3","","Rick Riordan","Juvenile Fiction, Juvenile Literature, Mythology","Disney Digital Books","2011"
"99","Physical","Horizon","BOOK",2017,3,17,"The lightning thief / Rick Riordan.","","Riordan, Rick","Mythology Greek Juvenile fiction, Fantasy Fiction","Hyperion Books for Children,","2005"
"100","Digital","OverDrive","AUDIOBOOK",2017,2,12,"The Son of Neptune: The Heroes of Olympus Series, Book 2 (unabridged) (Unabridged)","","Rick Riordan","Fantasy, Mythology, Young Adult Fiction","Books on Tape","2011"
"101","Digital","OverDrive","EBOOK",2017,2,11,"The Sword of Summer: Magnus Chase and the Gods of Asgard Series, Book 1","","Rick Riordan","Mythology, Young Adult Fiction, Young Adult Literature","Disney Digital Books","2016"
